"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","910","TC-LOG-010 - navigate to Registration page","firefox","Sun Nov 23 16:05:36 UTC 2025","passed","Sun Nov 23 16:05:37 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","607","TC-LOG-006 - login with invalid email format shows validation error","chromium","Sun Nov 23 16:03:31 UTC 2025","passed","Sun Nov 23 16:03:32 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3256","TC-LOG-004 - login with non-registered email shows error","webkit","Sun Nov 23 16:07:39 UTC 2025","passed","Sun Nov 23 16:07:42 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2943","TC-REG-007 - successful registration with minimum valid password length","chromium","Sun Nov 23 16:04:04 UTC 2025","passed","Sun Nov 23 16:04:07 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","3526","TC-REG-012 - using an existing email shows validation error","webkit","Sun Nov 23 16:08:33 UTC 2025","passed","Sun Nov 23 16:08:37 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1552","TC-API-004: Shopping Cart Flow - POST /carts and POST /carts/{id}","chromium","Sun Nov 23 16:02:25 UTC 2025","passed","Sun Nov 23 16:02:26 UTC 2025","API Tests","api.spec.ts","",""
"","719","TC-REG-003 - missing email shows validation error","chromium","Sun Nov 23 16:03:40 UTC 2025","passed","Sun Nov 23 16:03:41 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1705","TC-REG-006 - password too short shows validation error","webkit","Sun Nov 23 16:08:22 UTC 2025","passed","Sun Nov 23 16:08:24 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1364","TC-API-002: User Login - POST /users/login","firefox","Sun Nov 23 16:04:16 UTC 2025","passed","Sun Nov 23 16:04:17 UTC 2025","API Tests","api.spec.ts","",""
"","5243","TC-LOG-008 - verify Sign in with Google button is present","Mobile Chrome","Sun Nov 23 16:19:41 UTC 2025","failed","Sun Nov 23 16:19:46 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
